PID,Country,Age,Gender,Counterbalance,Video_Gender,Smart,Behave,Grades,Edu_asp,nationality,nationality_other,origin,origin_other,parent,employment,employment_other,occupation,occupation_other,ethnicity,ethnicity_other,Education,SES,income_annual,,
N207,4,52,Female,2,2,1,1,1,PhD or other higher postgraduate degrees,"United Kingdom,Australia",,Australia,,Yes,Other,On disability pension ,Other (please specify),On disability pension ,Caucasian,,Associate's defree or Certificate/Diploma,5,"$17,000 - $34,999",,
R267,4,61,Male,1,1,1,1,1,Bachelor's degree or Honors degree,Australia,,Australia,,No,Unemployed,,Unemployed,,Caucasian,,Bachelor's degree or Honors degree,1,"$17,000 - $34,999",,
R269,4,53,Male,2,2,1,1,0,High/Secondary school,Australia,,Australia,,Yes,Unemployed,,Unemployed,,Caucasian,,High/Secondary school,3,"$17,000 - $34,999",,
R274,4,36,Female,2,1,1,1,1,Associate's degree or Certificate/Diploma,Australia,,Other (please specify):,malaysia,No,Full-time,,"Management, professional, and related",,Asian,,Bachelor's degree or Honors degree,7,"$64,000 - $83,999",,
R277,4,67,Male,1,1,1,1,1,High/Secondary school,Australia,,Australia,,Yes,Retired,,Retired,,Caucasian,,High/Secondary school,3,"$17,000 - $34,999",,
R280,4,65,Female,1,1,1,1,1,High/Secondary school,Australia,,Australia,,Yes,Part-time,,Sales and office,,Caucasian,,Associate's defree or Certificate/Diploma,5,"$17,000 - $34,999",,
R281,4,44,Female,2,2,1,1,1,Associate's degree or Certificate/Diploma,Australia,,Australia,,No,Full-time,,Service,,Asian,,Associate's defree or Certificate/Diploma,6,"$35,000 - $63,999",,
R284,4,52,Female,2,2,1,1,1,High/Secondary school,Australia,,Australia,,Yes,Part-time,,Sales and office,,Caucasian,,Bachelor's degree or Honors degree,6,"$17,000 - $34,999",,
R289,4,65,Female,1,2,1,1,1,Bachelor's degree or Honors degree,Australia,,Australia,,Yes,Retired,,Other (please specify),retired ,Caucasian,,Some college/university,3,"$64,000 - $83,999",,
R291,4,67,Female,1,2,1,1,1,Associate's degree or Certificate/Diploma,United Kingdom,,Australia,,Yes,Retired,,Other (please specify),retired,Caucasian,,High/Secondary school,5,"$17,000 - $34,999",,
R296,4,39,Male,2,2,1,1,1,Bachelor's degree or Honors degree,Australia,,Australia,,Yes,Full-time,,"Management, professional, and related",,Caucasian,,Bachelor's degree or Honors degree,8,"$35,000 - $63,999",,
R301,4,45,Male,1,1,1,1,1,High/Secondary school,Australia,,New Zealand,,Yes,Full-time,,"Management, professional, and related",,Caucasian,,Bachelor's degree or Honors degree,6,"$64,000 - $83,999",,
R304,4,32,Male,1,1,1,1,1,Associate's degree or Certificate/Diploma,Australia,,Australia,,No,Unemployed,,Unemployed,,African,,Associate's defree or Certificate/Diploma,1,"$17,000 - $34,999",,
R305,4,36,Female,2,1,1,1,1,High/Secondary school,Australia,,Australia,,Yes,Part-time,,Government,,Caucasian,,Master's degree,4,"More than $83,999",,
R309,4,39,Male,2,2,1,1,1,Bachelor's degree or Honors degree,Australia,,Australia,,Yes,Full-time,,Sales and office,,Caucasian,,Bachelor's degree or Honors degree,7,"More than $83,999",,
R310,4,22,Female,2,2,1,1,1,High/Secondary school,Australia,,Australia,,No,Casual,,Other (please specify),Retail,Caucasian,,Bachelor's degree or Honors degree,5,"$8,000 - $16,999",,
R316,4,22,Non-binary/non-conforming,1,2,1,1,1,Associate's degree or Certificate/Diploma,Australia,,Australia,,No,Casual,,Other (please specify),Community Services,Caucasian,,Associate's defree or Certificate/Diploma,6,"$8,000 - $16,999",,
487,4,66,Male,2,2,1,1,1,High/Secondary school,Australia,,Australia,,No,Retired,,Retired,,Caucasian,,Associate's defree or Certificate/Diploma,3,"$17,000 - $34,999",,
499,4,41,Female,2,1,1,1,0,High/Secondary school,"United Kingdom,Australia",,Australia,,No,Full-time,,"Management, professional, and related",,Caucasian,,PhD or other higher postgraduate degrees,7,"More than $83,999",,
523,4,48,Female,1,1,1,1,1,Associate's degree or Certificate/Diploma,United Kingdom,,Australia,,Yes,Unemployed,,Unemployed,,Caucasian,,High/Secondary school,5,"Less than $7,999",,
528,4,64,Male,1,2,1,1,1,High/Secondary school,Australia,,Australia,,Yes,Unemployed,,Unemployed,,Caucasian,,Associate's defree or Certificate/Diploma,4,"$8,000 - $16,999",,
532,4,64,Male,2,2,1,1,1,High/Secondary school,Australia,,Australia,,Yes,Retired,,Unemployed,,Aboriginal Australian,,Associate's defree or Certificate/Diploma,6,"$17,000 - $34,999",,
551,4,38,Male,1,2,1,1,1,Bachelor's degree or Honors degree,Australia,,Australia,,Yes,Full-time,,"Management, professional, and related",,Caucasian,,Bachelor's degree or Honors degree,7,"More than $83,999",,
563,4,73,Male,1,1,1,1,1,Some college/university,Australia,,Australia,,Yes,Retired,,Retired,,Caucasian,,Associate's defree or Certificate/Diploma,7,"$64,000 - $83,999",,
573,4,81,Male,1,1,1,1,0,High/Secondary school,Australia,,Australia,,No,Retired,,Retired,,Caucasian,,Associate's defree or Certificate/Diploma,5,"$35,000 - $63,999",,
595,4,57,Female,2,1,1,1,1,Associate's degree or Certificate/Diploma,Australia,,Australia,,Yes,Other,home,Other (please specify),home,Other,australian,High/Secondary school,5,"Less than $7,999",,
636,4,20,Male,1,2,1,1,1,Some college/university,Australia,,Australia,,No,Student,,Student,,Central American,,Bachelor's degree or Honors degree,4,"$35,000 - $63,999",,
640,4,27,Male,2,1,1,1,1,High/Secondary school,Australia,,Australia,,No,Full-time,,"Management, professional, and related",,Caucasian,,Bachelor's degree or Honors degree,5,"$35,000 - $63,999",,
645,4,19,Male,1,2,1,1,1,Bachelor's degree or Honors degree,Australia,,Australia,,No,Student,,Student,,Caucasian,,Some college/university,5,I don't know,,
N113,4,27,Male,2,1,1,1,1,High/Secondary school,Australia,,Australia,,No,Part-time,,Sales and office,,Caucasian,,High/Secondary school,5,"$35,000 - $63,999",,
N116,4,57,Male,1,1,1,1,1,Bachelor's degree or Honors degree,Australia,,Australia,,Yes,Part-time,,"Management, professional, and related",,Asian,,Associate's defree or Certificate/Diploma,7,"$64,000 - $83,999",,
N120,4,21,Male,2,2,1,1,1,High/Secondary school,Australia,,Australia,,No,Unemployed,,Unemployed,,Caucasian,,High/Secondary school,1,"Less than $7,999",,
N125,4,32,Male,1,2,1,1,1,High/Secondary school,Australia,,Australia,,Yes,Full-time,,"Production, transportation, and material moving",,Caucasian,,High/Secondary school,5,"$35,000 - $63,999",,
N127,4,57,Male,1,2,1,1,0,Bachelor's degree or Honors degree,"United Kingdom,Australia",,United Kingdom,,No,Full-time,,Sales and office,,Caucasian,,High/Secondary school,7,"More than $83,999",,
N128,4,28,Male,1,1,1,1,1,Some college/university,Australia,,Australia,,No,Full-time,,"Management, professional, and related",,Asian,,Master's degree,5,"More than $83,999",,
N131,4,42,Male,1,2,1,1,1,Some college/university,Australia,,Australia,,Yes,Full-time,,"Management, professional, and related",,Caucasian,,High/Secondary school,5,"More than $83,999",,
N132,4,34,Male,2,2,1,1,1,High/Secondary school,Australia,,Australia,,No,Other,Unable to work due to disability,Unemployed,,Caucasian,,Associate's defree or Certificate/Diploma,1,"$17,000 - $34,999",,
N146,4,30,Male,2,2,1,1,1,Associate's degree or Certificate/Diploma,Australia,,Australia,,No,Part-time,,Service,,Caucasian,,Associate's defree or Certificate/Diploma,1,I don't know,,
N150,4,32,Male,2,2,1,1,1,High/Secondary school,Australia,,Australia,,No,Full-time,,"Construction, extraction, and maintenance",,Caucasian,,High/Secondary school,5,"$64,000 - $83,999",,
N152,4,61,Male,2,2,1,1,1,Associate's degree or Certificate/Diploma,Australia,,Australia,,Yes,Unemployed,,Unemployed,,Caucasian,,Associate's defree or Certificate/Diploma,5,"$17,000 - $34,999",,
N154,4,24,Male,1,2,1,1,1,Some high/secondary school,Australia,,Australia,,No,Unemployed,,Unemployed,,Caucasian,,High/Secondary school,3,I don't know,,
N168,4,52,Female,2,2,1,1,1,High/Secondary school,Australia,,Australia,,Yes,Casual,,Sales and office,,Caucasian,,Associate's defree or Certificate/Diploma,5,"Less than $7,999",,
N171,4,25,Female,2,1,1,1,1,High/Secondary school,Australia,,Australia,,No,Full-time,,"Management, professional, and related",,Caucasian,,Bachelor's degree or Honors degree,7,"$64,000 - $83,999",,
N176,4,30,Female,1,2,1,1,1,High/Secondary school,Australia,,Australia,,No,Full-time,,Government,,Caucasian,,Master's degree,7,"More than $83,999",,
N178,4,26,Female,1,2,1,1,1,Associate's degree or Certificate/Diploma,Australia,,Australia,,Yes,Part-time,,Service,,Caucasian,,Bachelor's degree or Honors degree,5,"$17,000 - $34,999",,
N180,4,27,Female,1,1,1,1,1,High/Secondary school,Australia,,Australia,,Yes,Full-time,,"Management, professional, and related",,Caucasian,,Bachelor's degree or Honors degree,5,"$64,000 - $83,999",,
N182,4,49,Male,2,2,1,1,1,Associate's degree or Certificate/Diploma,Australia,,Other (please specify):,South Africa,No,Full-time,,"Management, professional, and related",,Caucasian,,Bachelor's degree or Honors degree,7,"More than $83,999",,
N185,4,34,Female,2,1,1,1,1,High/Secondary school,Australia,,Australia,,No,Part-time,,Other (please specify),Events / floristry,Caucasian,,Bachelor's degree or Honors degree,6,"$35,000 - $63,999",,
N210,4,47,Female,1,1,1,1,1,High/Secondary school,Australia,,Australia,,Yes,Unemployed,,Unemployed,,Caucasian,,Some high/secondary school,2,"$17,000 - $34,999",,
R271,4,32,Female,2,2,1,1,1,Some high/secondary school,Australia,,Australia,,Yes,Other,,Other (please specify),,Caucasian,,High/Secondary school,5,"$35,000 - $63,999",,
R282,4,75,Female,2,1,1,1,1,Some college/university,Australia,,Australia,,Yes,Retired,,Retired,,Caucasian,,High/Secondary school,5,"$17,000 - $34,999",,
R293,4,33,Female,2,2,1,1,1,High/Secondary school,Australia,,Australia,,Yes,Full-time,,Government,,Caucasian,,Associate's defree or Certificate/Diploma,7,"More than $83,999",,
R299,4,34,Male,2,2,1,1,1,Some college/university,Australia,,Australia,,Yes,Full-time,,"Management, professional, and related",,Caucasian,,Bachelor's degree or Honors degree,8,"More than $83,999",,
R306,4,34,Female,2,1,1,1,1,High/Secondary school,Australia,,Australia,,Yes,Unemployed,,Unemployed,,Caucasian,,Associate's defree or Certificate/Diploma,3,"$35,000 - $63,999",,
R308,4,20,Male,1,2,1,1,1,High/Secondary school,Australia,,Australia,,Yes,Unemployed,,Unemployed,,Caucasian,,Some high/secondary school,6,"$17,000 - $34,999",,
R313,4,27,Male,2,1,1,1,1,High/Secondary school,Australia,,Australia,,No,Part-time,,Sales and office,,Caucasian,,High/Secondary school,5,"$35,000 - $63,999",,
R314,4,51,Male,1,1,1,1,1,Associate's degree or Certificate/Diploma,Australia,,Australia,,No,Unemployed,,Unemployed,,Caucasian,,Associate's defree or Certificate/Diploma,5,"$8,000 - $16,999",,
574,4,73,Female,1,2,1,1,1,High/Secondary school,Australia,,Other (please specify):,Germany,No,Retired,,Retired,,Caucasian,,Bachelor's degree or Honors degree,3,"$17,000 - $34,999",,
582,4,48,Female,1,1,1,1,1,High/Secondary school,Other (please specify):,Japanese,Other (please specify):,Japan,Yes,Unemployed,,Unemployed,,Asian,,Associate's defree or Certificate/Diploma,3,"Less than $7,999",,
596,4,63,Female,1,2,1,1,1,Associate's degree or Certificate/Diploma,Australia,,Australia,,Yes,Retired,,Retired,,Other,Australian,Associate's defree or Certificate/Diploma,8,"$35,000 - $63,999",,
619,4,34,Female,2,1,1,1,1,High/Secondary school,Australia,,Australia,,No,Full-time,,"Management, professional, and related",,Aboriginal Australian,,Associate's defree or Certificate/Diploma,8,"$64,000 - $83,999",,
N130,4,46,Male,2,2,1,1,1,Some college/university,Australia,,Australia,,Yes,Part-time,,Sales and office,,Caucasian,,Associate's defree or Certificate/Diploma,6,"$35,000 - $63,999",,
N137,4,31,Male,1,2,1,1,1,Bachelor's degree or Honors degree,Australia,,Australia,,Yes,Full-time,,Other (please specify),Health care ,Middle Eastern,,Master's degree,4,"$17,000 - $34,999",,
N144,4,46,Male,2,2,1,1,1,Master's degree,Australia,,Australia,,Yes,Full-time,,"Management, professional, and related",,Aboriginal Australian,,Master's degree,8,"More than $83,999",,
N184,4,26,Female,1,2,1,1,1,High/Secondary school,"Australia,Other (please specify):",South Africa ,Australia,,No,Full-time,,Government,,Caucasian,,Some college/university,5,"$35,000 - $63,999",,
N193,4,39,Female,2,2,1,1,1,High/Secondary school,Australia,,New Zealand,,Yes,Full-time,,Sales and office,,Caucasian,,Associate's defree or Certificate/Diploma,7,"More than $83,999",,
R270,4,23,Female,2,1,1,1,0,High/Secondary school,Australia,,Australia,,Yes,Student,,Student,,Caucasian,,Associate's defree or Certificate/Diploma,3,"$35,000 - $63,999",,
R273,4,43,Female,1,2,1,1,1,Associate's degree or Certificate/Diploma,Other (please specify):,Mauritian ,Australia,,Yes,Full-time,,Government,,Asian,,Bachelor's degree or Honors degree,7,I don't know,,
R275,4,30,Female,2,1,1,1,1,High/Secondary school,Australia,,Australia,,Yes,Student,,Student,,Caucasian,,Bachelor's degree or Honors degree,2,"$8,000 - $16,999",,
R311,4,24,Female,2,1,1,1,1,High/Secondary school,Australia,,Australia,,No,Student,,Student,,Caucasian,,Bachelor's degree or Honors degree,4,"$8,000 - $16,999",,
R317,4,46,Male,2,2,1,1,1,High/Secondary school,Australia,,Other (please specify):,Malaysia ,Yes,Full-time,,"Production, transportation, and material moving",,Asian,,Bachelor's degree or Honors degree,5,"More than $83,999",,
500,4,53,Female,1,2,1,1,1,Bachelor's degree or Honors degree,Australia,,Australia,,No,Part-time,,Sales and office,,Caucasian,,Master's degree,1,"$8,000 - $16,999",,
N135,4,19,Female,2,2,1,1,1,Some college/university,Australia,,Australia,,Yes,Unemployed,,Unemployed,,Aboriginal Australian,,High/Secondary school,1,"$17,000 - $34,999",,
N147,4,22,Male,1,2,1,1,1,High/Secondary school,Australia,,Australia,,No,Full-time,,"Management, professional, and related",,Caucasian,,Associate's defree or Certificate/Diploma,8,"More than $83,999",,
N169,4,26,Female,1,2,1,1,1,High/Secondary school,Australia,,Australia,,No,Full-time,,Sales and office,,Aboriginal Australian,,Bachelor's degree or Honors degree,6,"$35,000 - $63,999",,
R303,4,29,Female,1,2,1,1,1,High/Secondary school,Australia,,Australia,,Yes,Unemployed,,Unemployed,,Caucasian,,Associate's defree or Certificate/Diploma,6,I don't know,,
530,4,64,Female,1,2,1,1,1,Bachelor's degree or Honors degree,Australia,,Australia,,No,Retired,,Retired,,Caucasian,,High/Secondary school,4,I don't know,,
N201,4,47,Female,2,1,1,1,1,Bachelor's degree or Honors degree,Australia,,Other (please specify):,Japan,No,Casual,,Service,,Asian,,Bachelor's degree or Honors degree,7,"Less than $7,999",,
549,4,64,Male,1,2,1,NA,NA,High/Secondary school,Australia,,Australia,,Yes,Unemployed,,Unemployed,,Caucasian,,High/Secondary school,3,"$17,000 - $34,999",,
673,5,75,Female,1,2,1,0,1,High/Secondary school,New Zealand,,New Zealand,,Yes,Other,I am a self-employed author. (48 books published (most in USA) and counting.),Other (please specify),I write fiction - books/short stories,"Caucasian,Other",Fijian,Associate's defree or Certificate/Diploma,6,"$30,000 - $49,999",,
696,5,31,Male,2,2,1,0,0,Some high/secondary school,New Zealand,,New Zealand,,Yes,Full-time,,"Management, professional, and related",,Caucasian,,Associate's defree or Certificate/Diploma,7,"$70,000 - $99,999",,
777,5,54,Male,1,1,1,0,1,High/Secondary school,New Zealand,,New Zealand,,Yes,Full-time,,"Management, professional, and related",,Caucasian,,Bachelor's degree or Honors degree,8,"More than $100,000",,
N63,5,61,Male,2,2,1,0,1,Some college/university,New Zealand,,New Zealand,,Yes,Part-time,,"Management, professional, and related",,Other,european white,High/Secondary school,6,"$30,000  - $49,999",,
660,5,71,Male,1,1,1,0,1,Bachelor's degree or Honors degree,New Zealand,,New Zealand,,Yes,Retired,,Retired,,Caucasian,,Bachelor's degree or Honors degree,6,"$30,000 - $49,999",,
694,5,57,Female,2,1,1,0,1,Bachelor's degree or Honors degree,New Zealand,,New Zealand,,Yes,Other,,Other (please specify),Home maker,Caucasian,,Bachelor's degree or Honors degree,8,"Less than $14,999",,
758,5,57,Female,2,1,1,0,1,Bachelor's degree or Honors degree,New Zealand,,New Zealand,,Yes,Full-time,,"Management, professional, and related",,Caucasian,,Bachelor's degree or Honors degree,5,"$30,000 - $49,999",,
N68,5,22,Female,1,1,1,0,1,Associate's degree or Certificate/Diploma,New Zealand,,New Zealand,,No,Full-time,,"Management, professional, and related",,Caucasian,,Associate's defree or Certificate/Diploma,6,"$50,000 - $69,999",,
N87,5,56,Female,1,2,1,0,1,Bachelor's degree or Honors degree,New Zealand,,New Zealand,,Yes,Full-time,,Government,,Māori/ Cook Island Māori,,Bachelor's degree or Honors degree,7,"$50,000 - $69,999",,
N93,5,44,Female,2,2,1,0,1,Some college/university,New Zealand,,New Zealand,,Yes,Part-time,,Other (please specify),health professional,Other,nz euro- kiwi!,Associate's defree or Certificate/Diploma,4,"$30,000  - $49,999",,
R2,5,27,Female,2,1,1,0,0,Some college/university,New Zealand,,New Zealand,,Yes,Student,,Student,,Caucasian,,Bachelor's degree or Honors degree,5,"$15,000  - $29,999",,
779,5,36,Female,2,2,1,0,1,Bachelor's degree or Honors degree,Other (please specify):,irish,Other (please specify):,wales,Yes,Full-time,,"Management, professional, and related",,Caucasian,,Bachelor's degree or Honors degree,6,"$50,000 - $69,999",,
R23,5,50,Male,2,2,1,0,1,Master's degree,Other (please specify):,Scottish,Other (please specify):,Scotland,Yes,Other,House husband,Other (please specify),House Husband,Other,Scottish,Master's degree,7,"Less than $14,999",,
658,5,39,Female,1,2,1,1,1,Some high/secondary school,New Zealand,,New Zealand,,Yes,Part-time,,Unemployed,,Asian,,Bachelor's degree or Honors degree,5,I don't know,,
661,5,61,Male,2,1,1,1,1,Some college/university,New Zealand,,New Zealand,,Yes,Part-time,,"Construction, extraction, and maintenance",,Caucasian,,High/Secondary school,5,"$30,000 - $49,999",,
677,5,48,Female,2,2,1,1,1,Bachelor's degree or Honors degree,New Zealand,,New Zealand,,Yes,Unemployed,,Unemployed,,Other,New Zealand Maori,Some high/secondary school,8,"$15,000 - $29,999",,
682,5,43,Female,1,1,1,1,1,Bachelor's degree or Honors degree,New Zealand,,New Zealand,,Yes,Part-time,,Other (please specify),Support worker,Other,Tuvaluan,Bachelor's degree or Honors degree,4,"$30,000 - $49,999",,
690,5,60,Female,2,2,1,1,1,Associate's degree or Certificate/Diploma,New Zealand,,New Zealand,,No,Unemployed,,Unemployed,,Other,NZ MAORI,High/Secondary school,4,"$30,000 - $49,999",,
702,5,50,Male,2,2,1,1,1,High/Secondary school,New Zealand,,Other (please specify):,Fiji,No,Full-time,,Other (please specify),Electronics Technician/ Middle management,"Asian,Other",Fijian,Associate's defree or Certificate/Diploma,7,"More than $100,000",,
715,5,42,Male,1,1,1,1,0,PhD or other higher postgraduate degrees,New Zealand,,Other (please specify):,Hong Kong,Yes,Full-time,,Service,,Asian,,Bachelor's degree or Honors degree,5,"$70,000 - $99,999",,
742,5,68,Female,2,2,1,1,1,High/Secondary school,New Zealand,,New Zealand,,Yes,Retired,,Retired,,Caucasian,,Some college/university,5,"$15,000 - $29,999",,
745,5,73,Female,1,1,1,1,1,Associate's degree or Certificate/Diploma,New Zealand,,New Zealand,,Yes,Retired,,Retired,,Caucasian,,High/Secondary school,5,"$15,000 - $29,999",,
762,5,52,Female,2,1,1,1,1,High/Secondary school,New Zealand,,New Zealand,,Yes,Unemployed,,Unemployed,,Caucasian,,Master's degree,5,"$50,000 - $69,999",,
765,5,60,Female,2,2,1,1,1,Associate's degree or Certificate/Diploma,New Zealand,,New Zealand,,Yes,Part-time,,Service,,Caucasian,,High/Secondary school,5,"$15,000 - $29,999",,
776,5,34,Female,2,1,1,1,1,High/Secondary school,New Zealand,,New Zealand,,Yes,Unemployed,,Unemployed,,Māori/ Cook Island Māori,,Associate's defree or Certificate/Diploma,1,"Less than $14,999",,
N13,5,25,Male,1,2,1,1,1,Some high/secondary school,New Zealand,,New Zealand,,No,Full-time,,Other (please specify),Personal Trainer ,Other,Nz European ,Bachelor's degree or Honors degree,7,"$50,000 - $69,999",,
N16,5,51,Male,1,1,1,1,1,Associate's degree or Certificate/Diploma,New Zealand,,"New Zealand,Other (please specify):",Fiji ,No,Full-time,,Other (please specify),Electronics Technician ,"Asian,Other",Fijian ,Associate's defree or Certificate/Diploma,7,"More than $100,000",,
N24,5,31,Male,2,1,1,1,1,Some college/university,New Zealand,,New Zealand,,No,Full-time,,"Management, professional, and related",,"Caucasian,Māori/ Cook Island Māori",,Associate's defree or Certificate/Diploma,5,"$70,000 -  $99,999",,
N26,5,22,Male,2,2,1,1,0,Associate's degree or Certificate/Diploma,New Zealand,,New Zealand,,Yes,Full-time,,Other (please specify),security services ,Asian,,Bachelor's degree or Honors degree,5,"$50,000 - $69,999",,
N28,5,20,Male,2,2,1,1,1,High/Secondary school,New Zealand,,New Zealand,,No,Student,,Student,,Caucasian,,High/Secondary school,7,"Less than $14,999",,
N34,5,42,Male,2,1,1,1,0,Bachelor's degree or Honors degree,New Zealand,,Other (please specify):,Hong Kong ,Yes,Full-time,,"Management, professional, and related",,Asian,,Bachelor's degree or Honors degree,5,"$70,000 -  $99,999",,
N47,5,33,Male,2,1,1,1,0,Some college/university,New Zealand,,New Zealand,,Yes,Part-time,,Other (please specify),Tattooist,Other,Maori,Some high/secondary school,2,"$15,000  - $29,999",,
N55,5,63,Male,2,1,1,1,1,Associate's degree or Certificate/Diploma,New Zealand,,New Zealand,,No,Full-time,,Service,,Caucasian,,Associate's defree or Certificate/Diploma,5,"$30,000  - $49,999",,
N59,5,62,Male,1,1,1,1,0,PhD or other higher postgraduate degrees,New Zealand,,New Zealand,,No,Unemployed,,Unemployed,,Caucasian,,PhD or other higher postgraduate degrees,2,"$15,000  - $29,999",,
N60,5,51,Male,1,2,1,1,1,High/Secondary school,New Zealand,,New Zealand,,No,Full-time,,Sales and office,,Caucasian,,Associate's defree or Certificate/Diploma,10,"$70,000 -  $99,999",,
N61,5,51,Male,1,1,1,1,0,Some high/secondary school,New Zealand,,New Zealand,,Yes,Full-time,,Other (please specify),labourer,Caucasian,,Some high/secondary school,4,"$50,000 - $69,999",,
N64,5,23,Female,1,2,1,1,1,Some high/secondary school,New Zealand,,New Zealand,,No,Full-time,,Sales and office,,"Caucasian,Māori/ Cook Island Māori",,Some college/university,4,"$50,000 - $69,999",,
N79,5,23,Female,2,2,1,1,1,High/Secondary school,New Zealand,,New Zealand,,No,Part-time,,Sales and office,,Caucasian,,Associate's defree or Certificate/Diploma,3,"$15,000  - $29,999",,
R11,5,29,Female,2,2,1,1,1,Some college/university,New Zealand,,New Zealand,,No,Part-time,,Service,,Caucasian,,Associate's defree or Certificate/Diploma,3,"$30,000  - $49,999",,
R12,5,56,Female,2,1,1,1,1,High/Secondary school,New Zealand,,New Zealand,,Yes,Unemployed,,Unemployed,,Caucasian,,High/Secondary school,3,"$15,000  - $29,999",,
R18,5,75,Male,1,2,1,1,1,Some high/secondary school,United Kingdom,,United Kingdom,,Yes,Part-time,,"Production, transportation, and material moving",,Caucasian,,Associate's defree or Certificate/Diploma,6,"$30,000  - $49,999",,
R38,5,42,Male,2,2,1,1,1,Some college/university,Other (please specify):,the Netherlands,Other (please specify):,the Netherlands,No,Other,Homemaker,Other (please specify),Homemaker,Other,Mixed,Some college/university,6,"Less than $14,999",,
655,5,64,Female,2,1,1,1,1,Master's degree,New Zealand,,Other (please specify):,South Africa,Yes,Full-time,,"Management, professional, and related",,Caucasian,,Bachelor's degree or Honors degree,5,"$70,000 - $99,999",,
659,5,44,Male,1,2,1,1,1,Associate's degree or Certificate/Diploma,New Zealand,,New Zealand,,Yes,Full-time,,"Management, professional, and related",,Caucasian,,High/Secondary school,5,"$50,000 - $69,999",,
664,5,68,Female,1,2,1,1,1,High/Secondary school,New Zealand,,New Zealand,,Yes,Full-time,,"Management, professional, and related",,Caucasian,,Bachelor's degree or Honors degree,7,"$50,000 - $69,999",,
668,5,42,Female,1,2,1,1,1,Some high/secondary school,New Zealand,,New Zealand,,Yes,Full-time,,Government,,Caucasian,,Associate's defree or Certificate/Diploma,4,"$70,000 - $99,999",,
683,5,37,Female,1,1,1,1,1,Associate's degree or Certificate/Diploma,New Zealand,,New Zealand,,Yes,Full-time,,"Management, professional, and related",,Caucasian,,Associate's defree or Certificate/Diploma,5,"$70,000 - $99,999",,
684,5,35,Female,1,2,1,1,1,Some college/university,New Zealand,,New Zealand,,Yes,Part-time,,Other (please specify),Cleaner,Caucasian,,Associate's defree or Certificate/Diploma,2,"Less than $14,999",,
691,5,66,Male,2,2,1,1,1,High/Secondary school,New Zealand,,New Zealand,,Yes,Full-time,,"Management, professional, and related",,Caucasian,,Some college/university,7,"More than $100,000",,
692,5,61,Male,1,1,1,1,0,Master's degree,New Zealand,,New Zealand,,No,Unemployed,,Unemployed,,Caucasian,,PhD or other higher postgraduate degrees,2,"$15,000 - $29,999",,
699,5,41,Female,2,1,1,1,0,Master's degree,New Zealand,,New Zealand,,Yes,Full-time,,"Management, professional, and related",,Caucasian,,Some college/university,7,"More than $100,000",,
700,5,61,Male,2,2,1,1,1,Bachelor's degree or Honors degree,New Zealand,,New Zealand,,No,Part-time,,"Management, professional, and related",,Caucasian,,Bachelor's degree or Honors degree,8,"More than $100,000",,
707,5,35,Male,1,2,1,1,1,PhD or other higher postgraduate degrees,New Zealand,,Other (please specify):,China,Yes,Full-time,,Government,,Asian,,Associate's defree or Certificate/Diploma,6,"$70,000 - $99,999",,
716,5,79,Male,2,2,1,1,1,Associate's degree or Certificate/Diploma,New Zealand,,New Zealand,,Yes,Retired,,Retired,,Caucasian,,High/Secondary school,7,"$15,000 - $29,999",,
719,5,63,Male,2,1,1,1,0,High/Secondary school,New Zealand,,Other (please specify):,samoa,Yes,Part-time,,Other (please specify),cleaner,Other,pacific Islander,High/Secondary school,2,"$30,000 - $49,999",,
722,5,66,Male,1,2,1,1,1,High/Secondary school,New Zealand,,New Zealand,,Yes,Retired,,Retired,,Caucasian,,High/Secondary school,8,"$30,000 - $49,999",,
727,5,64,Male,1,2,1,1,1,High/Secondary school,New Zealand,,New Zealand,,Yes,Full-time,,Service,,Caucasian,,Associate's defree or Certificate/Diploma,8,"$70,000 - $99,999",,
728,5,47,Female,2,1,1,1,1,Some college/university,New Zealand,,New Zealand,,Yes,Part-time,,Other (please specify),Manufacturing Owner,Māori/ Cook Island Māori,,Associate's defree or Certificate/Diploma,5,"$30,000 - $49,999",,
730,5,47,Male,2,2,1,1,1,High/Secondary school,New Zealand,,New Zealand,,No,Unemployed,,Unemployed,,Māori/ Cook Island Māori,,Bachelor's degree or Honors degree,3,"$30,000 - $49,999",,
734,5,72,Female,2,2,1,1,1,Bachelor's degree or Honors degree,New Zealand,,New Zealand,,Yes,Retired,,Retired,,Caucasian,,High/Secondary school,5,"$15,000 - $29,999",,
736,5,56,Female,2,2,1,1,1,Associate's degree or Certificate/Diploma,New Zealand,,New Zealand,,Yes,Unemployed,,Unemployed,,Caucasian,,High/Secondary school,5,"$15,000 - $29,999",,
737,5,77,Male,2,1,1,1,1,Bachelor's degree or Honors degree,United Kingdom,,Other (please specify):,England,Yes,Retired,,Retired,,Caucasian,,High/Secondary school,5,"$50,000 - $69,999",,
738,5,63,Female,2,2,1,1,1,Bachelor's degree or Honors degree,New Zealand,,New Zealand,,Yes,Retired,,Retired,,Asian,,High/Secondary school,7,"$50,000 - $69,999",,
746,5,88,Male,1,1,1,1,1,Associate's degree or Certificate/Diploma,New Zealand,,New Zealand,,Yes,Retired,,Retired,,"Caucasian,Māori/ Cook Island Māori",,High/Secondary school,7,"$30,000 - $49,999",,
